Date,Coal_RB_4800_FOB_London_Close_USD,Coal_RB_5500_FOB_London_Close_USD,Coal_RB_5700_FOB_London_Close_USD,Coal_RB_6000_FOB_CurrentWeek_Avg_USD,Coal_India_5500_CFR_London_Close_USD,Price_WTI,Price_Brent_Oil,Price_Dubai_Brent_Oil,Price_ExxonMobil,Price_NTPC,Price_Shenhua,tempmax_RB,tempmin_RB,temp_RB,dew_RB,humidity_RB,precip_RB,preciptype_RB,windspeed_RB,tempmax_Limpopo,tempmin_Limpopo,temp_Limpopo,dew_Limpopo,humidity_Limpopo,precip_Limpopo,preciptype_Limpopo,windspeed_Limpopo
4/2/2020,41,53.22,64.7,97.56,60.5,25.32,29.94,26.16,40.4,,14.58,23,17.8,21,15.1,69.5,0.001,rain,28.4,23.1,14,18,9.8,61,0.072,rain,22.1
4/3/2020,40.34,52.36,63.1,70.57,62.03,28.34,34.11,29.39,39.21,79.55,14.14,25.5,14.9,21.5,15.8,70.7,0.199,rain,21.6,21,13,16.6,11.3,71.5,0,,25.9
4/6/2020,40.34,52.36,63.1,70.57,62.03,26.08,33.05,27.45,40.47,,14.26,31.8,20.5,24.8,20.6,79.3,0,,16.9,29,13,21,8.1,47.9,0,,13
4/7/2020,40.34,52.36,63.1,70.57,62.03,23.63,31.87,26,41.24,81.55,14.46,23.8,18.3,21.8,18.5,82,2.197,rain,32.4,31,13,22.2,7.7,44.2,0,,20.5
4/8/2020,40.34,52.36,63.1,70.57,62.03,25.09,32.84,26.16,43.85,85.2,14.24,21.3,16.3,19.3,15.5,79.1,0.236,rain,27.4,23,16,18.3,12.9,71.1,0,,28.5
4/9/2020,33.82,43.58,54.81,59.57,54.74,22.76,31.48,23.26,43.13,87.1,14.16,21.6,17.3,19.7,17.3,86.3,0.421,rain,19.8,20.7,15,17.4,12.5,73.3,0,,24.1
4/10/2020,,,,,,,,,,,,28.2,17.7,23.3,18.1,73.4,0.004,rain,28.8,20.2,14,17,12.3,74.6,0,,14.8
4/13/2020,,,,59.57,,22.41,31.74,24.74,42.76,88.65,,26.9,20.2,24.3,19.4,74.6,0,,24.1,31,17,23,9.8,45.7,0,,22.1
4/14/2020,33.82,43.58,54.81,59.57,54.74,20.11,29.6,21.96,42.43,,14.36,24.9,16.3,21.9,19.5,86.7,18.341,rain,27,29,17,22.3,13.7,61.7,0.003,rain,25.7
4/15/2020,33.82,43.58,54.81,59.57,54.74,19.87,27.69,21.46,40.48,89.9,14.12,25.3,16,20.9,16.8,78.8,26.588,rain,25.9,24,16,18.8,15.2,80.7,12.058,rain,20.5
4/16/2020,33.82,43.58,54.81,59.57,54.74,19.87,27.82,21.71,39.15,95.1,14.12,25.1,19.1,21.9,18.2,80,0.797,rain,14.7,28,14.7,20.1,13.6,70.7,0,,13
4/17/2020,31.49,38.44,51.1,51.7,48.89,18.27,28.08,22.23,43.22,95.5,14.24,25.8,17.6,22,17.6,77.1,8.166,rain,13.7,24,16,18.8,14,74.9,0,,24.1
4/20/2020,31.49,38.44,51.1,51.7,48.89,-37.63,25.57,21.47,41.18,98.9,14.08,28.6,16.1,22.7,18.2,77.4,0,,19.8,25.2,11.8,17.7,6.8,57.7,0,,13
4/21/2020,31.49,38.44,51.1,51.7,48.89,10.01,19.33,19.07,40.96,97.3,13.84,27.3,19,22.8,19.5,82.4,0,,16.2,26,9,16.8,8.4,61.8,0,,12.9
4/22/2020,31.49,38.44,51.1,51.7,48.89,13.78,20.37,20,42.13,97.6,13.66,26.2,17.6,22.5,19.1,82.3,0.2,rain,12.6,25,10,17.2,9.6,64,0,,18.2
4/23/2020,31.49,38.44,51.1,51.7,48.89,16.5,21.33,20.45,43.45,95.2,13.7,26,20.3,22.9,19.7,82.7,0.8,rain,16.2,23,11,16.8,9.8,65.4,0,,13.9
4/24/2020,26.75,34.56,44.69,44.53,41.81,16.94,21.44,20.45,43.73,93.4,13.64,36,18.5,24.1,19.7,77.8,0.198,rain,20.9,24,11,17,9.8,65.2,0,,14.6
4/27/2020,26.75,34.56,44.69,44.53,41.81,12.78,19.99,20.37,43.94,92.35,13.8,30,16.5,22.4,17.3,74,0.64,rain,28.8,22,13,16.9,12,74.7,0,,18.4
4/28/2020,26.75,34.56,44.69,44.53,41.81,12.34,20.46,20.41,44.97,90.35,13.94,20.4,17,19.4,16.9,85.9,1.038,rain,23.4,18.1,12.9,14.5,10.8,79.7,6.026,rain,27.7
4/29/2020,26.75,34.56,44.69,44.53,41.81,15.06,22.54,20.38,47.46,90.2,13.86,25.1,14.6,20.4,15.1,73.1,0.005,rain,14.4,20,12,15.2,12.3,83.5,0.993,rain,16.6
4/30/2020,26.75,34.56,44.69,44.53,41.81,18.84,25.27,20.39,46.47,95.05,,23.9,16.6,20.4,16.8,80.7,0.242,rain,33.3,24,9,15.9,7.8,63.1,0,,9.4
5/1/2020,30,37.97,47.89,49.47,42.99,19.78,26.44,25.3,43.14,,,25.6,15.3,20.8,16.2,76.1,0.007,rain,14,25,10,17,7.6,58,0,,9.4
5/4/2020,30,37.97,47.89,49.47,42.99,20.39,27.2,26.2,44.88,91.45,13.12,33,17.8,21.5,18.5,83.6,1.194,rain,21.6,24,9,16.6,7.6,58.2,0,,20.5
5/5/2020,30,37.97,47.89,49.47,42.99,24.56,30.97,28.94,44.83,92.6,13.2,31,15.6,22.3,18,78.1,0.198,rain,20.2,24,11,16.2,9.7,68.8,0,,14.8
5/6/2020,30,37.97,47.89,49.47,42.99,23.99,29.72,27.35,43.99,94.7,13.5,24.8,17.6,21.2,16.3,74.3,0.5,rain,25.6,25,10,17,9,63.6,0,,16.6
5/7/2020,31.61,40.68,50.66,51.91,45.77,23.55,29.46,27.14,44.24,90.45,13.4,28,16.6,20.8,16.9,79.3,2.987,rain,14,22.8,12,16,10.5,72,0,,18.4
